met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
468.8340759277344,2,6,4,-209.4813232421875,1450.603515625,132.09909057617188,64.29322052001953,132.09909057617188,64.29322052001953,0.7299565076828003,0
554.5887451171875,2,7,5,65.82132720947266,1584.984619140625,172.3957061767578,85.57119750976562,294.388916015625,85.57119750976562,0.8334530591964722,0
544.67919921875,2,7,5,158.27127075195312,1198.147216796875,137.3032684326172,129.21176147460938,137.3032684326172,225.78465270996094,0.7024654150009155,0
1205.2069091796875,2,7,5,-924.94873046875,2088.371337890625,108.26129150390625,123.19705200195312,547.1331176757812,123.19705200195312,2.1135549545288086,0
525.8648681640625,2,6,4,172.2877655029297,950.9913330078125,136.98854064941406,71.72476196289062,136.98854064941406,71.72476196289062,2.2215731143951416,0
409.32806396484375,2,6,4,126.64302062988281,1557.415283203125,204.537841796875,187.52072143554688,204.537841796875,187.52072143554688,0.47082602977752686,0
796.031982421875,2,6,4,-186.13014221191406,1373.036376953125,147.29852294921875,70.34675598144531,147.29852294921875,70.34675598144531,0.7893115282058716,0
442.5911865234375,2,10,8,-429.8238220214844,2034.068603515625,533.5529174804688,138.35894775390625,533.5529174804688,329.46978759765625,0.47884297370910645,0
511.86907958984375,3,9,6,-146.92691040039062,1652.30810546875,178.70474243164062,223.83839416503906,178.70474243164062,306.4710388183594,2.7691667079925537,0
586.2745361328125,2,9,7,19.734586715698242,2112.418701171875,177.45291137695312,165.00856018066406,177.45291137695312,470.52227783203125,0.7370865941047668,0
548.54541015625,2,7,5,-184.79144287109375,1135.7763671875,130.56906127929688,97.48157501220703,311.0882873535156,97.48157501220703,0.6051496863365173,0
814.350830078125,2,4,2,157.5867919921875,2043.58447265625,343.6053161621094,110.28662872314453,343.6053161621094,110.28662872314453,0.7138752937316895,0
736.1324462890625,2,6,4,171.2251739501953,1364.634765625,161.07720947265625,136.18968200683594,402.2594909667969,136.18968200683594,0.6618177890777588,0
595.3006591796875,3,9,6,142.48414611816406,1621.240234375,127.78215789794922,124.6197509765625,183.9275665283203,157.6272430419922,3.0390772819519043,0
